iShares Russell 1000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,13-Apr-26,,,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,,,,
Shares Outstanding,"119,200,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
WDC,WESTERN DIGITAL CORP,Information Technology,Equity,"84,666,236.88",0.19,"84,666,236.88","241,793.00",350.16,United States,NASDAQ,USD,1,USD,-
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"84,055,145.74",0.19,"84,055,145.74","1,447,729.00",58.06,United States,NYSE,USD,1,USD,-
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"83,714,385.70",0.19,"83,714,385.70","436,126.00",191.95,United States,NYSE,USD,1,USD,-
PGR,PROGRESSIVE CORP,Financials,Equity,"82,842,704.42",0.19,"82,842,704.42","415,106.00",199.57,United States,NYSE,USD,1,USD,-
VRT,VERTIV HOLDINGS CLASS A,Industrials,Equity,"80,863,816.72",0.18,"80,863,816.72","269,582.00",299.96,United States,NYSE,USD,1,USD,-
MDT,MEDTRONIC PLC,Health Care,Equity,"80,021,128.00",0.18,"80,021,128.00","909,331.00",88,United States,NYSE,USD,1,USD,-
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"79,960,947.21",0.18,"79,960,947.21","1,196,841.00",66.81,United States,NYSE,USD,1,USD,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"79,139,472.10",0.18,"79,139,472.10","179,842.00",440.05,United States,NASDAQ,USD,1,USD,-
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,"78,781,706.90",0.18,"78,781,706.90","600,013.00",131.3,United States,NASDAQ,USD,1,USD,-
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"78,622,688.96",0.18,"78,622,688.96","806,552.00",97.48,United States,NASDAQ,USD,1,USD,-
CME,CME GROUP INC CLASS A,Financials,Equity,"76,667,884.22",0.17,"76,667,884.22","255,058.00",300.59,United States,NASDAQ,USD,1,USD,-
MCK,MCKESSON CORP,Health Care,Equity,"75,719,905.17",0.17,"75,719,905.17","87,581.00",864.57,United States,NYSE,USD,1,USD,-
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,"74,899,507.80",0.17,"74,899,507.80","158,370.00",472.94,United States,NYSE,USD,1,USD,-
SO,SOUTHERN,Utilities,Equity,"74,884,780.67",0.17,"74,884,780.67","780,619.00",95.93,United States,NYSE,USD,1,USD,-
EQIX,EQUINIX REIT INC,Real Estate,Equity,"73,151,294.28",0.16,"73,151,294.28","69,217.00","1,056.84",United States,NASDAQ,USD,1,USD,-
HWM,HOWMET AEROSPACE INC,Industrials,Equity,"72,756,567.00",0.16,"72,756,567.00","284,050.00",256.14,United States,NYSE,USD,1,USD,-
DUK,DUKE ENERGY CORP,Utilities,Equity,"72,082,642.40",0.16,"72,082,642.40","552,781.00",130.4,United States,NYSE,USD,1,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"71,947,801.20",0.16,"71,947,801.20","2,564,984.00",28.05,United States,NASDAQ,USD,1,USD,-
INTU,INTUIT INC,Information Technology,Equity,"71,546,489.28",0.16,"71,546,489.28","193,662.00",369.44,United States,NASDAQ,USD,1,USD,-
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,"70,698,079.65",0.16,"70,698,079.65","169,357.00",417.45,United States,NASDAQ,USD,1,USD,-
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"70,655,869.44",0.16,"70,655,869.44","175,656.00",402.24,United States,NASDAQ,USD,1,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"69,764,680.83",0.16,"69,764,680.83","290,553.00",240.11,United States,NASDAQ,USD,1,USD,-
CVS,CVS HEALTH CORP,Health Care,Equity,"69,399,441.99",0.16,"69,399,441.99","888,711.00",78.09,United States,NYSE,USD,1,USD,-
FCX,FREEPORT MCMORAN INC,Materials,Equity,"68,963,779.78",0.15,"68,963,779.78","1,013,726.00",68.03,United States,NYSE,USD,1,USD,-
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"66,419,195.61",0.15,"66,419,195.61","404,231.00",164.31,United States,NYSE,USD,1,USD,-
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"66,057,975.36",0.15,"66,057,975.36","1,045,552.00",63.18,United States,NYSE,USD,1,USD,-
NOW,SERVICENOW INC,Information Technology,Equity,"65,922,746.36",0.15,"65,922,746.36","740,206.00",89.06,United States,NYSE,USD,1,USD,-
TMUS,T MOBILE US INC,Communication,Equity,"65,852,817.31",0.15,"65,852,817.31","342,217.00",192.43,United States,NASDAQ,USD,1,USD,-
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,"64,608,395.28",0.14,"64,608,395.28","221,474.00",291.72,United States,NASDAQ,USD,1,USD,-
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,"64,555,485.12",0.14,"64,555,485.12","94,752.00",681.31,United States,NYSE,USD,1,USD,-
BX,BLACKSTONE INC,Financials,Equity,"63,954,647.26",0.14,"63,954,647.26","524,993.00",121.82,United States,NYSE,USD,1,USD,-
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity,"63,035,402.85",0.14,"63,035,402.85","488,079.00",129.15,United States,NYSE,USD,1,USD,-
USB,US BANCORP,Financials,Equity,"62,555,835.37",0.14,"62,555,835.37","1,106,987.00",56.51,United States,NYSE,USD,1,USD,-
PWR,QUANTA SERVICES INC,Industrials,Equity,"62,243,233.92",0.14,"62,243,233.92","104,463.00",595.84,United States,NYSE,USD,1,USD,-
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Equity,"61,973,454.14",0.14,"61,973,454.14","433,927.00",142.82,United States,NYSE,USD,1,USD,-
WMB,WILLIAMS INC,Energy,Equity,"61,782,015.54",0.14,"61,782,015.54","863,601.00",71.54,United States,NYSE,USD,1,USD,-
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity,"61,542,871.00",0.14,"61,542,871.00","275,977.00",223,United States,NYSE,USD,1,USD,-
GD,GENERAL DYNAMICS CORP,Industrials,Equity,"61,229,460.60",0.14,"61,229,460.60","179,685.00",340.76,United States,NYSE,USD,1,USD,-
WM,WASTE MANAGEMENT INC,Industrials,Equity,"60,755,541.00",0.14,"60,755,541.00","263,011.00",231,United States,NYSE,USD,1,USD,-
CMI,CUMMINS INC,Industrials,Equity,"60,376,278.56",0.13,"60,376,278.56","97,652.00",618.28,United States,NYSE,USD,1,USD,-
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"60,024,673.72",0.13,"60,024,673.72","331,738.00",180.94,United States,NYSE,USD,1,USD,-
MRSH,MARSH INC,Financials,Equity,"59,751,008.85",0.13,"59,751,008.85","344,287.00",173.55,United States,NYSE,USD,1,USD,-
MMM,3M,Industrials,Equity,"57,764,551.35",0.13,"57,764,551.35","378,065.00",152.79,United States,NYSE,USD,1,USD,-
EMR,EMERSON ELECTRIC,Industrials,Equity,"57,675,366.08",0.13,"57,675,366.08","399,248.00",144.46,United States,NYSE,USD,1,USD,-
HCA,HCA HEALTHCARE INC,Health Care,Equity,"57,333,126.62",0.13,"57,333,126.62","115,261.00",497.42,United States,NYSE,USD,1,USD,-
ITW,ILLINOIS TOOL INC,Industrials,Equity,"56,555,648.24",0.13,"56,555,648.24","206,024.00",274.51,United States,NYSE,USD,1,USD,-
FDX,FEDEX CORP,Industrials,Equity,"56,547,362.06",0.13,"56,547,362.06","152,054.00",371.89,United States,NYSE,USD,1,USD,-
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,"56,533,978.36",0.13,"56,533,978.36","157,231.00",359.56,United States,NASDAQ,USD,1,USD,-
